,justice,mercy,duty,honor,forgiveness,punishment,law,freedom,loyalty,sacrifice
justice,1.7881393e-07,0.513546,0.45566362,0.49874586,0.42226636,0.34793758,0.3699212,0.54573715,0.63131833,0.58608764
mercy,0.513546,-2.3841858e-07,0.4064163,0.45655578,0.16482031,0.45975423,0.63395387,0.5258016,0.53957486,0.33495045
duty,0.45566362,0.4064163,5.9604645e-08,0.365699,0.4643278,0.3508185,0.37776572,0.49210954,0.44440317,0.38108182
honor,0.49874586,0.45655578,0.365699,1.7881393e-07,0.46674478,0.53600025,0.6249197,0.5038082,0.37873745,0.4545542
forgiveness,0.42226636,0.16482031,0.4643278,0.46674478,1.7881393e-07,0.4298302,0.5782951,0.49970984,0.48840225,0.34210098
punishment,0.34793758,0.45975423,0.3508185,0.53600025,0.4298302,0.0,0.4128552,0.5843795,0.61324024,0.42205757
law,0.3699212,0.63395387,0.37776572,0.6249197,0.5782951,0.4128552,-2.3841858e-07,0.5920883,0.67243195,0.6051298
freedom,0.54573715,0.5258016,0.49210954,0.5038082,0.49970984,0.5843795,0.5920883,0.0,0.6020959,0.4831915
loyalty,0.63131833,0.53957486,0.44440317,0.37873745,0.48840225,0.61324024,0.67243195,0.6020959,2.3841858e-07,0.41192752
sacrifice,0.58608764,0.33495045,0.38108182,0.4545542,0.34210098,0.42205757,0.6051298,0.4831915,0.41192752,-1.1920929e-07
