,justice,mercy,duty,honor,forgiveness,punishment,law,freedom,loyalty,sacrifice
justice,1.1920929e-07,0.5194197,0.4820326,0.46555316,0.5715828,0.40260535,0.3782798,0.5645851,0.7357801,0.6999476
mercy,0.5194197,0.0,0.63661665,0.5529286,0.33697617,0.63998836,0.66862273,0.61554945,0.6521588,0.47289056
duty,0.4820326,0.63661665,-1.1920929e-07,0.4215564,0.7151226,0.5238453,0.40539002,0.61569047,0.5484978,0.62503505
honor,0.46555316,0.5529286,0.4215564,0.0,0.53816456,0.6241813,0.59631735,0.5991497,0.46412224,0.5849906
forgiveness,0.5715828,0.33697617,0.7151226,0.53816456,1.1920929e-07,0.65649515,0.7281568,0.61572343,0.5756108,0.47266412
punishment,0.40260535,0.63998836,0.5238453,0.6241813,0.65649515,-2.3841858e-07,0.48101813,0.7174122,0.77938807,0.6261281
law,0.3782798,0.66862273,0.40539002,0.59631735,0.7281568,0.48101813,-2.3841858e-07,0.6102959,0.7759952,0.7332423
freedom,0.5645851,0.61554945,0.61569047,0.5991497,0.61572343,0.7174122,0.6102959,1.1920929e-07,0.6969576,0.63196003
loyalty,0.7357801,0.6521588,0.5484978,0.46412224,0.5756108,0.77938807,0.7759952,0.6969576,-1.1920929e-07,0.54599285
sacrifice,0.6999476,0.47289056,0.62503505,0.5849906,0.47266412,0.6261281,0.7332423,0.63196003,0.54599285,2.3841858e-07
