,justice,mercy,duty,honor,forgiveness,punishment,law,freedom,loyalty,sacrifice
justice,1.1920929e-07,0.4111361,0.31012857,0.4246235,0.5587774,0.26548964,0.26177245,0.36634207,0.51907253,0.42159837
mercy,0.4111361,5.9604645e-08,0.38635868,0.41270697,0.37720698,0.49217075,0.5791663,0.37008893,0.45144892,0.25368536
duty,0.31012857,0.38635868,-2.3841858e-07,0.3581007,0.5005511,0.32471365,0.28676832,0.25497806,0.264201,0.1879381
honor,0.4246235,0.41270697,0.3581007,1.1920929e-07,0.5142956,0.5246047,0.5680301,0.39929354,0.35653067,0.33722633
forgiveness,0.5587774,0.37720698,0.5005511,0.5142956,1.7881393e-07,0.51514316,0.598683,0.5555817,0.59035057,0.47164106
punishment,0.26548964,0.49217075,0.32471365,0.5246047,0.51514316,0.0,0.3176669,0.4354173,0.52819294,0.3865419
law,0.26177245,0.5791663,0.28676832,0.5680301,0.598683,0.3176669,2.3841858e-07,0.38236034,0.56517017,0.47277445
freedom,0.36634207,0.37008893,0.25497806,0.39929354,0.5555817,0.4354173,0.38236034,-1.1920929e-07,0.36759937,0.23602891
loyalty,0.51907253,0.45144892,0.264201,0.35653067,0.59035057,0.52819294,0.56517017,0.36759937,-2.3841858e-07,0.18271053
sacrifice,0.42159837,0.25368536,0.1879381,0.33722633,0.47164106,0.3865419,0.47277445,0.23602891,0.18271053,-1.1920929e-07
