,justice,mercy,duty,honor,forgiveness,punishment,law,freedom,loyalty,sacrifice
justice,-1.1920929e-07,0.48111403,0.38585806,0.45756084,0.5712677,0.3761273,0.317383,0.5214137,0.6207317,0.5427135
mercy,0.48111403,2.3841858e-07,0.50172615,0.37283087,0.29921162,0.5616912,0.6195621,0.51106846,0.4308058,0.31409997
duty,0.38585806,0.50172615,0.0,0.33205998,0.474167,0.361749,0.28127182,0.5230241,0.39510572,0.38264388
honor,0.45756084,0.37283087,0.33205998,-2.3841858e-07,0.3915364,0.47178882,0.52851367,0.5013635,0.29849696,0.38516748
forgiveness,0.5712677,0.29921162,0.474167,0.3915364,5.9604645e-08,0.48972064,0.6053723,0.60480934,0.47366917,0.36881167
punishment,0.3761273,0.5616912,0.361749,0.47178882,0.48972064,1.1920929e-07,0.3656904,0.6235741,0.5954431,0.38597715
law,0.317383,0.6195621,0.28127182,0.52851367,0.6053723,0.3656904,2.3841858e-07,0.56375664,0.6574917,0.5638664
freedom,0.5214137,0.51106846,0.5230241,0.5013635,0.60480934,0.6235741,0.56375664,-1.1920929e-07,0.59927595,0.5044135
loyalty,0.6207317,0.4308058,0.39510572,0.29849696,0.47366917,0.5954431,0.6574917,0.59927595,1.7881393e-07,0.3978644
sacrifice,0.5427135,0.31409997,0.38264388,0.38516748,0.36881167,0.38597715,0.5638664,0.5044135,0.3978644,1.1920929e-07
